Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1528.1928,NA,26.77950000000000,26.66940000000000,0.00000000000000,0.04130000000000,11.9841,1501.4133,26.7795,26.7795,0.0000,0.1297,26.6911,0.1211,26.5700,-12.1863,1501.4133,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1555.9784,NA,27.78560000000000,26.69730000000000,0.00000000000000,0.03830000000000,10.8958,1528.1928,27.7856,27.7856,0.0000,0.0413,27.7826,0.1570,27.6256,0.0822,1528.1928,NA,NA,NA
Code.exe,32244,0x192F39360C0,DXGI,0,0,0,Composed: Flip,1476.2066,NA,119.96580000000000,120.15100000000001,0.27520000000000,0.31520000000000,24.0631,1356.5977,119.8841,119.6089,0.2752,119.6900,0.2341,0.2172,0.0169,67.8286,1356.5977,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1581.0468,NA,25.06840000000000,26.64430000000000,0.00000000000000,0.02590000000000,12.4717,1555.9784,25.0684,25.0684,0.0000,0.0383,25.0560,0.1618,24.8942,1.1413,1555.9784,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1596.5159,NA,15.46910000000000,13.26870000000000,0.00000000000000,0.00820000000000,10.2713,1581.0468,15.4691,15.4691,0.0000,0.0259,15.4514,0.1727,15.2787,11.7997,1581.0468,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1607.7491,NA,11.23320000000000,13.44110000000000,0.00000000000000,0.00670000000000,12.4792,1596.5159,11.2332,11.2332,0.0000,0.0082,11.2317,0.1246,11.1071,2.0280,1596.5159,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1634.3589,NA,26.60980000000000,26.66370000000000,0.00000000000000,0.04260000000000,12.5331,1607.7491,26.6098,26.6098,0.0000,0.0067,26.6457,0.1626,26.4831,-15.4305,1607.7491,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1661.1312,NA,26.77230000000000,26.66990000000000,0.00000000000000,0.03090000000000,12.4307,1634.3589,26.7723,26.7723,0.0000,0.0426,26.7606,0.1657,26.5949,-0.0601,1634.3589,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1687.9625,NA,26.83130000000000,26.67830000000000,0.00000000000000,0.01930000000000,12.2777,1661.1312,26.8313,26.8313,0.0000,0.0309,26.8197,0.1480,26.6717,0.0940,1661.1312,NA,NA,NA
Code.exe,32244,0x192F39360C0,DXGI,0,0,0,Composed: Flip,1595.2343,NA,119.02770000000001,106.51750000000000,0.27620000000000,0.82800000000000,11.5529,1476.4818,119.0287,118.7525,0.2762,118.8262,0.7543,0.7486,0.0057,13.3666,1476.4818,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1715.7640,NA,27.80150000000000,26.62090000000000,0.00000000000000,0.02780000000000,11.0971,1687.9625,27.8015,27.8015,0.0000,0.0193,27.8100,0.1521,27.6579,0.2104,1687.9625,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1729.7568,NA,13.99280000000000,13.32590000000000,0.00000000000000,0.17270000000000,10.4302,1715.7640,13.9928,13.9928,0.0000,0.0278,14.1377,0.2888,13.8489,14.4756,1715.7640,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1754.4565,NA,24.69970000000000,26.72660000000000,0.00000000000000,0.03540000000000,12.4571,1729.7568,24.6997,24.6997,0.0000,0.1727,24.5624,0.1450,24.4174,-12.7338,1729.7568,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1781.1380,NA,26.68150000000000,26.67130000000000,0.00000000000000,0.03260000000000,12.4469,1754.4565,26.6815,26.6815,0.0000,0.0354,26.6787,0.1640,26.5147,-1.9716,1754.4565,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1807.7681,NA,26.63010000000000,26.70570000000000,0.00000000000000,0.02390000000000,12.5225,1781.1380,26.6301,26.6301,0.0000,0.0326,26.6214,0.1448,26.4766,-0.0242,1781.1380,NA,NA,NA
Code.exe,32244,0x192F39360C0,DXGI,0,0,0,Composed: Flip,1716.0370,NA,120.80270000000000,133.39980000000000,0.25290000000000,0.22400000000000,24.1500,1595.5105,120.7794,120.5265,0.2529,120.5887,0.1618,0.1480,0.0138,-14.3711,1595.5105,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1834.5321,NA,26.76400000000000,26.68440000000000,0.00000000000000,0.02920000000000,12.4429,1807.7681,26.7640,26.7640,0.0000,0.0239,26.7693,0.1617,26.6076,-0.0543,1807.7681,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1847.8494,NA,13.31730000000000,13.20680000000000,0.00000000000000,0.16140000000000,12.3324,1834.5321,13.3173,13.3173,0.0000,0.0292,13.4495,0.2791,13.1704,13.5572,1834.5321,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1861.7732,NA,13.92380000000000,13.44330000000000,0.00000000000000,0.04840000000000,11.8519,1847.8494,13.9238,13.9238,0.0000,0.1614,13.8108,0.1639,13.6469,-0.1260,1847.8494,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1889.6886,NA,27.91540000000000,26.67880000000000,0.00000000000000,0.01230000000000,10.6153,1861.7732,27.9154,27.9154,0.0000,0.0484,27.8793,0.1929,27.6864,-12.7550,1861.7732,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1927.8673,NA,38.17870000000000,40.04270000000000,0.00000000000000,0.03150000000000,12.4793,1889.6886,38.1787,38.1787,0.0000,0.0123,38.1979,0.1277,38.0702,-12.1273,1889.6886,NA,NA,NA
