Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,527.8102,NA,13.80710000000000,13.41750000000000,0.00000000000000,0.03340000000000,12.0624,514.0031,13.8071,13.8071,0.0000,0.0304,13.8101,0.1466,13.6635,24.1069,514.0031,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,541.6927,NA,13.88250000000000,13.26900000000000,0.00000000000000,0.03380000000000,11.4489,527.8102,13.8825,13.8825,0.0000,0.0334,13.8829,0.1294,13.7535,0.5381,527.8102,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,580.8566,NA,39.16390000000001,40.05800000000000,0.00000000000000,0.02060000000000,12.3430,541.6927,39.1639,39.1639,0.0000,0.0338,39.1507,0.1349,39.0158,-26.1755,541.6927,NA,NA,NA
Code.exe,32244,0x192F39360C0,DXGI,0,0,0,Composed: Flip,385.0037,NA,124.39570000000001,133.36650000000000,0.37720000000000,0.35290000000000,21.4216,261.0397,124.3412,123.9640,0.3772,124.1351,0.1818,0.1675,0.0143,-26.8134,261.0397,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,607.3935,NA,26.53690000000000,26.70320000000000,0.00000000000000,0.05160000000000,12.5093,580.8566,26.5369,26.5369,0.0000,0.0206,26.5679,0.1652,26.4027,12.4607,580.8566,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,634.9635,NA,27.57000000000000,26.65560000000000,0.00000000000000,0.02670000000000,11.5949,607.3935,27.5700,27.5700,0.0000,0.0516,27.5451,0.1456,27.3995,-0.1187,607.3935,NA,NA,NA
Code.exe,32244,0x192F39360C0,DXGI,0,0,0,Composed: Flip,634.0081,NA,249.00440000000000,240.13310000000001,0.34180000000000,0.54810000000000,12.5503,385.3809,248.9690,248.6272,0.3418,248.7316,0.4437,0.4387,0.0050,-115.7919,385.3809,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,647.6494,NA,12.68590000000000,13.21470000000000,0.00000000000000,0.01210000000000,12.1237,634.9635,12.6859,12.6859,0.0000,0.0267,12.6713,0.1933,12.4780,14.3553,634.9635,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,659.8742,NA,12.22480000000000,13.48020000000000,0.00000000000000,0.18670000000000,13.3791,647.6494,12.2248,12.2248,0.0000,0.0121,12.3994,0.3228,12.0766,-0.7943,647.6494,NA,NA,NA
Code.exe,32244,0x192F39360C0,DXGI,0,0,0,Composed: Flip,647.0641,NA,13.05600000000000,26.69490000000000,0.37400000000000,0.28930000000000,26.1892,634.3499,13.0882,12.7142,0.3740,12.7807,0.2228,0.1562,0.0666,222.2741,634.3499,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,674.1615,NA,14.28730000000000,13.33110000000000,0.00000000000000,0.04450000000000,12.4229,659.8742,14.2873,14.2873,0.0000,0.1867,14.1451,0.1443,14.0008,-1.1063,659.8742,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,688.8562,NA,14.69470000000000,13.33500000000000,0.00000000000000,0.01840000000000,11.0632,674.1615,14.6947,14.6947,0.0000,0.0445,14.6686,0.1260,14.5426,0.9523,674.1615,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,701.5168,NA,12.66060000000000,13.33930000000000,0.00000000000000,0.06580000000000,11.7419,688.8562,12.6606,12.6606,0.0000,0.0184,12.7080,0.1546,12.5534,1.3554,688.8562,NA,NA,NA
Code.exe,32244,0x192F39360C0,DXGI,0,0,0,Composed: Flip,688.0804,NA,41.01630000000000,26.66610000000000,0.24150000000000,0.37130000000000,11.8390,647.4381,40.8838,40.6423,0.2415,40.7073,0.3063,0.3017,0.0046,-13.5779,647.4381,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,729.4919,NA,27.97510000000000,26.67200000000000,0.00000000000000,0.01220000000000,10.4388,701.5168,27.9751,27.9751,0.0000,0.0658,27.9215,0.1880,27.7335,-14.0114,701.5168,NA,NA,NA
Code.exe,32244,0x192F39360C0,DXGI,0,0,0,Composed: Flip,728.8544,NA,40.77400000000000,53.32160000000000,0.24870000000000,0.25030000000000,24.3866,688.3219,40.7812,40.5325,0.2487,40.6049,0.1779,0.1696,0.0083,-12.4378,688.3219,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,736.6068,NA,7.11490000000000,13.31030000000000,0.00000000000000,0.12950000000000,16.6342,729.4919,7.1149,7.1149,0.0000,0.0122,7.2322,0.2829,6.9493,14.6648,729.4919,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,750.3281,NA,13.72130000000000,13.34690000000000,0.00000000000000,0.20100000000000,16.2598,736.6068,13.7213,13.7213,0.0000,0.1295,13.7928,0.3903,13.4025,-6.2320,736.6068,NA,NA,NA
Code.exe,32244,0x192F39360C0,DXGI,0,0,0,Composed: Flip,741.6381,NA,12.78370000000000,13.34690000000000,0.25650000000000,0.36330000000000,24.9498,729.1031,12.7915,12.5350,0.2565,12.6040,0.2943,0.2889,0.0054,27.4343,729.1031,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,767.5710,NA,17.24290000000000,13.32500000000000,0.00000000000000,0.03760000000000,12.3419,750.3281,17.2429,17.2429,0.0000,0.2010,17.0795,0.1347,16.9448,0.3963,750.3281,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,777.9309,NA,10.35990000000000,13.30750000000000,0.00000000000000,0.16090000000000,15.2895,767.5710,10.3599,10.3599,0.0000,0.0376,10.4832,0.2850,10.1982,3.9354,767.5710,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,794.1414,NA,16.21050000000000,13.38530000000000,0.00000000000000,0.02870000000000,12.4643,777.9309,16.2105,16.2105,0.0000,0.1609,16.0783,0.1343,15.9440,-3.0254,777.9309,NA,NA,NA
Code.exe,32244,0x192F39360C0,DXGI,0,0,0,Composed: Flip,768.3546,NA,26.71650000000000,26.63250000000000,0.24040000000000,0.24440000000000,24.8658,741.8946,26.7004,26.4600,0.2404,26.5298,0.1746,0.1573,0.0173,-13.8410,741.8946,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,820.2809,NA,26.13950000000000,26.73940000000000,0.00000000000000,0.03480000000000,13.0642,794.1414,26.1395,26.1395,0.0000,0.0287,26.1456,0.1543,25.9913,-10.5289,794.1414,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,833.6981,NA,13.41720000000000,13.25620000000000,0.00000000000000,0.17130000000000,12.9032,820.2809,13.4172,13.4172,0.0000,0.0348,13.5537,0.2869,13.2668,12.8833,820.2809,NA,NA,NA
Code.exe,32244,0x192F39360C0,DXGI,0,0,0,Composed: Flip,821.8636,NA,53.50900000000000,53.38090000000000,0.23070000000000,0.22340000000000,24.7377,768.5950,53.4993,53.2686,0.2307,53.3428,0.1492,0.1450,0.0042,-26.6805,768.5950,NA,NA,NA
